""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time,wait_time_adj,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
AVPT-3.58,0,ins,no,sar,3600,120,4,806.04011333,98.38107098381072,790,803,98.25970548862115,734,747,100.0,56,56,332.038283979,346.089968049,339.040768059,240.255724788,557.415048384,1.13327642432,32068.8388007,3354.22333333,93.1728703704,1623.272478441502,167.12333333333333,4.642314814814815,1.01247865326,1.00767751904,
AVPT-3.58,1,ins,no,sar,3600,120,4,745.394463626,99.47575360419397,759,763,99.44979367262724,723,727,100.0,36,36,342.418481396,346.914321599,346.25990214,265.269948119,518.062535529,1.11750549849,29871.0667589,3146.74583333,87.4096064815,4403.287380552595,427.8341666666667,11.884282407407408,0.865780121828,0.873217046346,
AVPT-3.58,2,ins,no,sar,3600,120,4,727.744711417,98.96507115135834,765,773,99.05149051490515,731,738,97.14285714285714,34,35,331.693558898,340.679912751,336.387817268,230.767003949,501.857360002,1.12166435265,30050.9833622,3183.15833333,88.4210648148,2908.860475228764,294.82916666666665,8.189699074074074,0.907802895534,0.889955278707,
AVPT-3.58,3,ins,no,sar,3600,120,4,719.808676192,99.86595174262735,745,746,99.85915492957747,709,710,100.0,36,36,314.566144529,315.753053183,322.059879073,166.98120587,504.725974838,1.119170766,27927.5827783,3004.18083333,83.4494675926,4731.315941569873,474.3108333333332,13.175300925925923,0.849582157401,0.834038081608,
AVPT-3.58,4,ins,no,sar,3600,120,4,720.028924397,99.43502824858757,704,708,99.40387481371089,667,671,100.0,37,37,330.434891103,335.347688329,336.478617753,221.48446745,510.000402798,1.11608258613,28458.9157284,2978.4125,82.7336805556,5058.575932248461,485.4841666666665,13.485671296296292,0.832080910836,0.819429510344,
AVPT-3.58,5,ins,no,sar,3600,120,4,717.361749102,99.86033519553072,715,716,99.8529411764706,679,680,100.0,36,36,323.593405234,324.817436791,329.135606202,219.061336977,527.993728779,1.12572117117,27898.5361202,2925.29166667,81.2581018519,5573.793714603291,561.5933333333334,15.599814814814815,0.839611113522,0.831116240918,
AVPT-3.58,6,ins,no,sar,3600,120,4,716.121441812,99.72413793103448,723,725,99.71139971139971,691,693,100.0,32,32,321.581637343,324.004860412,327.356867702,196.872756781,509.003794542,1.12644759008,27479.5714981,2923.95416667,81.2209490741,5604.391688174104,551.6891666666668,15.324699074074077,0.832704441296,0.824889915402,
AVPT-3.58,7,ins,no,sar,3600,120,4,715.237442249,98.86524822695036,697,705,98.80418535127055,661,669,100.0,36,36,323.618303659,333.563060497,329.217412324,220.812447325,511.735771426,1.11198845061,27481.6714013,2916.7925,81.0220138889,5407.005117492706,525.5525,14.598680555555555,0.825644762864,0.801576740607,
AVPT-3.58,8,ins,no,sar,3600,120,4,714.427427975,98.64314789687924,727,737,98.56938483547926,689,699,100.0,38,38,332.079917477,343.85630937,334.923983573,280.512508533,521.838923802,1.12511241451,29493.9697857,3073.21666667,85.3671296296,3766.467386836833,390.9116666666667,10.858657407407408,0.879438857804,0.879748309703,
AVPT-3.58,9,ins,no,sar,3600,120,4,712.10338677,100.0,720,720,100.0,687,687,100.0,33,33,318.76699203,318.76699203,322.495107274,241.154411041,510.232639267,1.11931540427,26850.8277889,2839.0825,78.8634027778,6699.038107064564,653.9983333333333,18.16662037037037,0.792827617357,0.785164121,
AVPT-3.58,0,ins,no,sar,3600,140,4,806.04011333,99.8769987699877,812,813,99.87063389391979,772,773,100.0,40,40,309.418947611,310.51437326,314.784517309,205.863452436,530.588979338,1.13759059495,27011.1693837,2877.03642857,79.9176785714,6348.687441978597,617.7371428571429,17.15936507936508,0.852752592272,0.840589149223,
AVPT-3.58,1,ins,no,sar,3600,140,4,760.880719056,99.63855421686748,827,830,99.61928934010152,785,788,100.0,42,42,314.764239093,317.963886422,321.304024525,192.532535186,523.380202332,1.12392172078,26686.6614769,2823.185,78.4218055556,6818.518197194165,664.6278571428569,18.461884920634915,0.846515209523,0.830506998668,
AVPT-3.58,2,ins,no,sar,3600,140,4,745.976940196,99.71910112359551,710,712,99.70370370370371,673,675,100.0,37,37,324.563756693,327.022847264,324.74600996,321.248717531,507.202367159,1.12068649269,24264.0749484,2564.66285714,71.2406349206,8549.39834201372,842.8364285714285,23.412123015873014,0.717030025711,0.698398374371,
AVPT-3.58,3,ins,no,sar,3600,140,4,736.821516106,99.86033519553072,715,716,99.85007496251875,666,667,100.0,49,49,325.536354199,326.75767214,337.499073073,162.941032371,505.421005452,1.11505709439,24297.508532,2597.84714286,72.1624206349,8209.150942496235,814.7714285714285,22.632539682539683,0.750325652563,0.736365088592,
AVPT-3.58,4,ins,no,sar,3600,140,4,731.997416145,99.48186528497409,768,772,99.45578231292517,731,735,100.0,37,37,328.38920193,332.905320055,335.929867564,179.410105214,535.213581625,1.12040185074,24517.4624678,2624.01785714,72.8893849206,8840.694671411282,850.5778571428572,23.627162698412697,0.772426226187,0.759956211683,
AVPT-3.58,5,ins,no,sar,3600,140,4,727.325354953,100.0,743,743,100.0,705,705,100.0,38,38,334.162051322,334.162051322,339.036830626,243.722066877,515.389494639,1.12811121768,24075.1068962,2564.45571429,71.2348809524,8766.495782826687,867.8350000000002,24.10652777777778,0.767915333894,0.752252568486,
AVPT-3.58,6,ins,no,sar,3600,140,4,723.22104121,99.73118279569893,742,744,99.71751412429379,706,708,100.0,36,36,325.38676965,327.737880484,330.843458706,218.375034288,486.32512886,1.12626323049,23417.1707285,2504.10571429,69.5584920635,9298.373008771683,920.3592857142855,25.56553571428571,0.730552110775,0.713352273044,
AVPT-3.58,7,ins,no,sar,3600,140,4,721.021953508,100.0,745,745,100.0,713,713,100.0,32,32,311.062360313,311.062360313,318.674903255,141.445387896,515.107229204,1.12435025309,24494.7029423,2616.885,72.69125,7433.173427638884,723.9285714285716,20.109126984126988,0.786654057119,0.746989455868,
""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time,wait_time_adj,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
AVPT-3.0,0,ins,no,sar,3600,260,4,2137.59606725,99.95047052996533,2018,2019,99.94725738396625,1895,1896,100.0,123,123,324.758881365,325.192383653,330.933302599,229.63263552,540.898415783,1.14682584528,30507.8518079,3238.33769231,89.9538247863,3013.5149686591576,304.851923076923,8.468108974358973,1.15023937824,1.15417379914,
AVPT-3.0,1,ins,no,sar,3600,260,4,2044.50584845,99.85074626865672,2007,2010,99.84243697478992,1901,1904,100.0,106,106,318.697583122,320.012959864,322.649830119,247.81813462,526.998972803,1.14849832602,28896.4615051,3085.92153846,85.720042735,4643.616976516851,452.216923076923,12.561581196581196,1.09272708829,1.09093380173,
AVPT-3.0,2,ins,no,sar,3600,260,4,2015.7867576,99.90258158792011,2051,2053,99.89626556016597,1926,1928,100.0,125,125,309.557828204,310.425282828,313.12680804,254.566986885,528.061424277,1.1445350006,28929.7249349,3077.02730769,85.4729807692,4878.3294432774155,482.03692307692296,13.389914529914527,1.08503349777,1.09431069096,
AVPT-3.0,3,ins,no,sar,3600,260,4,2006.34869156,99.79959919839679,1992,1996,99.78914074855034,1893,1897,100.0,99,99,315.439552762,317.212218989,318.749465286,252.150013293,515.624452016,1.14376838579,28882.5629406,3086.98692308,85.7496367521,4972.66480253509,483.16730769230765,13.421314102564102,1.06580808143,1.07256567809,
AVPT-3.0,4,ins,no,sar,3600,260,4,1998.58834458,99.74874371859296,1985,1990,99.73432518597237,1877,1882,100.0,108,108,311.587341627,313.819534236,313.484433166,278.616593318,517.956936552,1.14280565759,28703.3381377,3076.36,85.4544444444,4733.965289423406,462.36500000000007,12.843472222222225,1.08696173528,1.08291387461,
""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time,wait_time_adj,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
""
